id,question,answer,focus,source
317,How to diagnose Kaposi Sarcoma?,"Tests that examine the skin, lungs, and gastrointestinal tract are used to detect (find) and diagnose Kaposi sarcoma. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking skin and lymph nodes for signs of disease, such as lumps or anything else that seems unusual. A history of the patient's health habits and past illnesses and treatments will also be taken.    -   Chest x-ray : An x-ray of the organs and bones inside the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body. This is used to find Kaposi sarcoma in the lungs.    -   Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer.  One of the following types of biopsies may be done to check for Kaposi sarcoma lesions in the skin:               -  Excisional biopsy : A scalpel is used to remove the entire skin growth.       -  Incisional biopsy : A scalpel is used to remove part of a skin growth.      -  Core biopsy : A wide needle is used to remove part of a skin growth.      -  Fine-needle aspiration (FNA) biopsy : A thin needle is used to remove part of a skin growth.          An endoscopy or bronchoscopy may be done to check for Kaposi sarcoma lesions in the gastrointestinal tract or lungs.               - Endoscopy for biopsy: A procedure to look at organs and tissues inside the body to check for abnormal areas. An endoscope is inserted through an incision (cut) in the skin or opening in the body, such as the mouth. An endoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue or lymph node samples, which are checked under a microscope for signs of disease. This is used to find Kaposi sarcoma lesions in the gastrointestinal tract.      - Bronchoscopy for biopsy: A procedure to look inside the trachea and large airways in the lung for abnormal areas. A bronchoscope is inserted through the nose or mouth into the trachea and lungs. A bronchoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue samples, which are checked under a microscope for signs of disease. This is used to find Kaposi sarcoma lesions in the lungs.
                           - After Kaposi sarcoma has been diagnosed, tests are done to find out if cancer cells have spread to other parts of the body. The following tests and procedures may be used to find out if cancer has spread to other parts of the body:         -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the lung, liver, and spleen, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do. This imaging test checks for signs of cancer in the lung, liver, and spleen.    -   CD34 lymphocyte count: A procedure in which a blood sample is checked to measure the amount of CD34 cells (a type of white blood cell). A lower than normal amount of CD34 cells can be a sign the immune system is not working well.",Kaposi Sarcoma,CancerGov
318,What are the treatments for Kaposi Sarcoma?,"Key Points
                    - There are different types of treatment for patients with Kaposi sarcoma.    - Treatment of epidemic Kaposi sarcoma combines treatment for Kaposi sarcoma with treatment for AIDS.    - Four types of standard treatment are used to treat Kaposi sarcoma:         - Radiation therapy     - Surgery     - Chemotherapy     - Biologic therapy        - New types of treatment are being tested in clinical trials.         - Targeted therapy        - Treatment for Kaposi sarcoma may cause side effects.    - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with Kaposi sarcoma.
                    Different types of treatments are available for patients with Kaposi sarcoma. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Treatment of epidemic Kaposi sarcoma combines treatment for Kaposi sarcoma with treatment for AIDS.
                    For the treatment of epidemic Kaposi sarcoma, combined antiretroviral therapy (cART) is used to slow the progression of AIDS. cART may be combined with anticancer drugs and medicines that prevent and treat infections.
                
                
                    Four types of standard treatment are used to treat Kaposi sarcoma:
                    Radiation therapy     Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type of the cancer being treated. Certain types of external radiation therapy are used to treat Kaposi sarcoma lesions. Photon radiation therapy treats lesions with high-energy light. Electron beam radiation therapy uses tiny negatively charged particles called electrons.       Surgery    The following surgical procedures may be used for Kaposi sarcoma to treat small, surface lesions:            - Local excision: The cancer is cut from the skin along with a small amount of normal tissue around it.     -  Electrodesiccation and curettage: The tumor is cut from the skin with a curette (a sharp, spoon-shaped tool). A needle-shaped electrode is then used to treat the area with an electric current that stops the bleeding and destroys cancer cells that remain around the edge of the wound. The process may be repeated one to three times during the surgery to remove all of the cancer.     -  Cryosurgery: A treatment that uses an instrument to freeze and destroy abnormal tissue. This type of treatment is also called cryotherapy.              Chemotherapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, tissue, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). In electrochemotherapy, intravenous chemotherapy is given and a probe is used to send electric pulses to the tumor. The pulses make an opening in the membrane around the tumor cell and allow the chemotherapy to get inside. Electrochemotherapy is being studied in the treatment of Kaposi sarcoma.    The way the chemotherapy is given depends on where the Kaposi sarcoma lesions occur in the body. In Kaposi sarcoma, chemotherapy may be given in the following ways:             - For local Kaposi sarcoma lesions, such as in the mouth, anticancer drugs may be injected directly into the lesion (intralesional chemotherapy).     - For local lesions on the skin, a topical agent may be applied to the skin as a gel. Electrochemotherapy may also be used.     -  For widespread lesions on the skin, intravenous chemotherapy may be given.            Liposomal chemotherapy uses liposomes (very tiny fat particles) to carry anticancer drugs. Liposomal doxorubicin is used to treat Kaposi sarcoma. The liposomes build up in Kaposi sarcoma tissue more than in healthy tissue, and the doxorubicin is released slowly. This increases the effect of the doxorubicin and causes less damage to healthy tissue.    See Drugs Approved for Kaposi Sarcoma for more information.       Biologic therapy     Biologic therapy is a treatment that uses the patient's immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the body's natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy. Interferon alfa is a biologic agent used to treat Kaposi sarcoma.    See Drugs Approved for Kaposi Sarcoma for more information.
                
                  
                    Treatment for Kaposi sarcoma may cause side effects.
                    For information about side effects caused by treatment for cancer, see our Side Effects page.
                                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Monoclonal antibody therapy and tyrosine kinase inhibitors (TKIs) are types of targeted therapy being studied in the treatment of Kaposi sarcoma.    Monoclonal antibody therapy is a cancer treatment that uses antibodies made in the laboratory from a single type of immune system cell. These antibodies can identify substances on cancer cells or normal substances that may help cancer cells grow. The antibodies attach to the substances and kill the cancer cells, block their growth, or keep them from spreading. Monoclonal antibodies are given by infusion. These may be used alone or to carry drugs, toxins, or radioactive material directly to cancer cells.      Bevacizumab is a monoclonal antibody that is being studied in the treatment of Kaposi sarcoma.    TKIs are targeted therapy drugs that block signals needed for tumors to grow.      Imatinib mesylate is a TKI being studied in the treatment of Kaposi sarcoma.
                              
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.
                
                
						            Treatment Options for Kaposi Sarcoma
									            
									                
									                    Classic Kaposi Sarcoma
									                    Treatment for single lesions may include the following:         -  Radiation therapy.    -  Surgery.        Treatment for lesions all over the body may include the following:         - Radiation therapy.    -  Chemotherapy.    - A clinical trial of electrochemotherapy.        Treatment for Kaposi sarcoma that affects lymph nodes or the gastrointestinal tract usually includes chemotherapy with or without radiation therapy.   Check the list of NCI-supported cancer clinical trials that are now accepting patients with classic Kaposi sarcoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
									                
									                
									                    Immunosuppressive Therapyrelated Kaposi Sarcoma
									                    Treatment for immunosuppressive therapyrelated Kaposi sarcoma may include the following:         - Stopping or reducing immunosuppressive drug therapy.    -  Radiation therapy.    -  Chemotherapy using one or more anticancer drugs.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with immunosuppressive treatment related Kaposi sarcoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
									                
									                
									                    Epidemic Kaposi Sarcoma
									                    Treatment for epidemic Kaposi sarcoma may include the following:         -  Surgery, including local excision or electrodesiccation and curettage.    -  Cryosurgery.    -  Radiation therapy.    -  Chemotherapy using one or more anticancer drugs.    -  Biologic therapy.    - A clinical trial of new drug therapy, biologic therapy, or targeted therapy.         Check the list of NCI-supported cancer clinical trials that are now accepting patients with AIDS-related Kaposi sarcoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
									                
									                
									                    Recurrent Kaposi Sarcoma
									                    Treatment for recurrent Kaposi sarcoma depends on which type of Kaposi sarcoma the patient has. Treatment may include a clinical trial of a new therapy.   Check the list of NCI-supported cancer clinical trials that are now accepting patients with recurrent Kaposi sarcoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.",Kaposi Sarcoma,CancerGov
319,what research (or clinical trials) is being done for Liver (Hepatocellular) Cancer?,"Cancer prevention clinical trials are used to study ways to prevent cancer.
                    Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type of cancer. Other trials are done with healthy volunteers who are not known to have any risk factors for cancer.    The purpose of some cancer prevention clinical trials is to find out whether actions people take can prevent cancer. These may include eating fruits and vegetables, exercising, quitting smoking, or taking certain medicines, vitamins, minerals, or food supplements.
                
                
                    New ways to prevent liver cancer are being studied in clinical trials.
                    Clinical trials are taking place in many parts of the country. Information about clinical trials can be found in the Clinical Trials section of the NCI website. Check NCI's list of cancer clinical trials for liver cancer prevention trials that are now accepting patients.",Liver (Hepatocellular) Cancer,CancerGov
320,What causes Adult Central Nervous System Tumors?,The cause of most adult brain and spinal cord tumors is not known.,Adult Central Nervous System Tumors,CancerGov
321,What are the symptoms of Adult Central Nervous System Tumors?,"The signs and symptoms of adult brain and spinal cord tumors are not the same in every person. Signs and symptoms depend on the following:         - Where the tumor forms in the brain or spinal cord.    - What the affected part of the brain controls.    - The size of the tumor.        Signs and symptoms may be caused by CNS tumors or by other conditions, including cancer that has spread to the brain. Check with your doctor if you have any of the following:      Brain Tumor Symptoms       - Morning headache or headache that goes away after vomiting.    -  Seizures.    - Vision, hearing, and speech problems.    - Loss of appetite.    - Frequent nausea and vomiting.     - Changes in personality, mood, ability to focus, or behavior.    - Loss of balance and trouble walking.    - Weakness.    - Unusual sleepiness or change in activity level.            Spinal Cord Tumor Symptoms       - Back pain or pain that spreads from the back towards the arms or legs.    - A change in bowel habits or trouble urinating.    - Weakness or numbness in the arms or legs.    - Trouble walking.",Adult Central Nervous System Tumors,CancerGov
322,What is the outlook for Adult Central Nervous System Tumors?,Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options for primary brain and spinal cord tumors depend on the following:         - The type and grade of the tumor.    -  Where the tumor is in the brain or spinal cord.    - Whether the tumor can be removed by surgery.    - Whether cancer cells remain after surgery.    - Whether there are certain changes in the chromosomes.    - Whether the cancer has just been diagnosed or has recurred (come back).    - The patient's general health.        The prognosis and treatment options for metastatic brain and spinal cord tumors depend on the following:         - Whether there are more than two tumors in the brain or spinal cord.    - Where the tumor is in the brain or spinal cord.    - How well the tumor responds to treatment.    - Whether the primary tumor continues to grow or spread.,Adult Central Nervous System Tumors,CancerGov
323,What are the stages of Adult Central Nervous System Tumors?,"Key Points
                    - There is no standard staging system for adult brain and spinal cord tumors.    - Imaging tests may be repeated after surgery to help plan more treatment.
                
                
                    There is no standard staging system for adult brain and spinal cord tumors.
                    The extent or spread of cancer is usually described as stages. There is no standard staging system for brain and spinal cord tumors. Brain tumors that begin in the brain may spread to other parts of the brain and spinal cord, but they rarely spread to other parts of the body. Treatment of primary brain and spinal cord tumors is based on the following:         - The type of cell in which the tumor began.    - Where the tumor formed in the brain or spinal cord.    - The amount of cancer left after surgery.    - The grade of the tumor.        Treatment of tumors that have spread to the brain from other parts of the body is based on the number of tumors in the brain.
                
                
                    Imaging tests may be repeated after surgery to help plan more treatment.
                    Some of the tests and procedures used to diagnose a brain or spinal cord tumor may be repeated after treatment to find out how much tumor is left.",Adult Central Nervous System Tumors,CancerGov
324,what research (or clinical trials) is being done for Adult Central Nervous System Tumors?,"New types of treatment are being tested in clinical trials.
                    This summary section refers to new treatments being studied in clinical trials, but it may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Proton beam radiation therapy     Proton beam radiation therapy is a type of high-energy, external radiation therapy that uses streams of protons (small, positively-charged pieces of matter) to make radiation. This type of radiation kills tumor cells with little damage to nearby tissues. It is used to treat cancers of the head, neck, and spine and organs such as the brain, eye, lung, and prostate. Proton beam radiation is different from x-ray radiation.        Biologic therapy     Biologic therapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.    Biologic therapy is being studied for the treatment of some types of brain tumors. Treatments may include the following:            -  Dendritic cell vaccine therapy.     -  Gene therapy.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",Adult Central Nervous System Tumors,CancerGov
325,What is the outlook for Essential Thrombocythemia?,Certain factors affect prognosis (chance of recovery) and treatment options for essential thrombocythemia. Prognosis (chance of recovery) and treatment options depend on the following:         - The age of the patient.    - Whether the patient has signs or symptoms or other problems related to essential thrombocythemia.,Essential Thrombocythemia,CancerGov
326,what research (or clinical trials) is being done for Childhood Rhabdomyosarcoma?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     High-dose chemotherapy with stem cell transplant     High-dose chemotherapy with stem cell transplant is a way of giving high doses of chemotherapy and replacing blood -forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the blood or bone marrow of the patient or a donor and are frozen and stored. After the chemotherapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the body's blood cells.       Immunotherapy     Immunotherapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biologic therapy or biotherapy.    There are different types of immunotherapy:            -  Immune checkpoint inhibitor therapy uses the body's immune system to kill cancer cells. Two types of immune checkpoint inhibitors are being studied in the treatment of childhood rhabdomyosarcoma that has come back after treatment:                  -  CTLA-4 is a protein on the surface of T cells that helps keep the bodys immune responses in check. When CTLA-4 attaches to another protein called B7 on a cancer cell, it stops the T cell from killing the cancer cell. CTLA-4 inhibitors attach to CTLA-4 and allow the T cells to kill cancer cells. Ipilimumab is a type of CTLA-4 inhibitor.       -  PD-1 is a protein on the surface of T cells that helps keep the bodys immune responses in check. When PD-1 attaches to another protein called PDL-1 on a cancer cell, it stops the T cell from killing the cancer cell. PD-1 inhibitors attach to PDL-1 and allow the T cells to kill cancer cells. Nivolumab and pembrolizumab are PD-1 inhibitors.                -  Vaccine therapy is a type of immunotherapy being studied to treat metastatic rhabdomyosarcoma.              Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to attack cancer cells. Targeted therapies usually cause less harm to normal cells than chemotherapy or radiation do. There are different types of targeted therapy:            -  mTOR inhibitors stop the protein that helps cells divide and survive. Sirolimus is a type of mTOR inhibitor therapy being studied in the treatment of recurrent rhabdomyosarcoma.     -  Tyrosine kinase inhibitors are small-molecule drugs that go through the cell membrane and work inside cancer cells to block signals that cancer cells need to grow and divide. MK-1775 is a tyrosine kinase inhibitor being studied in the treatment of recurrent rhabdomyosarcoma.     -  Antibody-drug conjugates are made up of a monoclonal antibody attached to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain cells, including cancer cells. The drug enters these cells and kills them without harming other cells. Lorvotuzumab mertansine is an antibody-drug conjugate being studied in the treatment of recurrent rhabdomyosarcoma.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",Childhood Rhabdomyosarcoma,CancerGov
327,What are the symptoms of Pituitary Tumors?,"Signs of a pituitary tumor include problems with vision and certain physical changes. Signs and symptoms can be caused by the growth of the tumor and/or by hormones the tumor makes or by other conditions. Some tumors may not cause signs or symptoms. Check with your doctor if you have any of these problems.     Signs and symptoms of a non-functioning pituitary tumor    Sometimes, a pituitary tumor may press on or damage parts of the pituitary gland, causing it to stop making one or more hormones. Too little of a certain hormone will affect the work of the gland or organ that the hormone controls. The following signs and symptoms may occur:         - Headache.    - Some loss of vision.    - Loss of body hair.    - In women, less frequent or no menstrual periods or no milk from the breasts.     - In men, loss of facial hair, growth of breast tissue, and impotence.    - In women and men, lower sex drive.    -  In children, slowed growth and sexual development.        Most of the tumors that make LH and FSH do not make enough extra hormone to cause signs and symptoms. These tumors are considered to be non-functioning tumors.    Signs and symptoms of a functioning pituitary tumor    When a functioning pituitary tumor makes extra hormones, the signs and symptoms will depend on the type of hormone being made.    Too much prolactin may cause:          - Headache.    - Some loss of vision.    - Less frequent or no menstrual periods or menstrual periods with a very light flow.     - Trouble becoming pregnant or an inability to become pregnant.    - Impotence in men.    - Lower sex drive.    - Flow of breast milk in a woman who is not pregnant or breast-feeding.         Too much ACTH may cause:          - Headache.    - Some loss of vision.    - Weight gain in the face, neck, and trunk of the body, and thin arms and legs.     - A lump of fat on the back of the neck.    - Thin skin that may have purple or pink stretch marks on the chest or abdomen.    - Easy bruising.    - Growth of fine hair on the face, upper back, or arms.    - Bones that break easily.    -  Anxiety, irritability, and depression.         Too much growth hormone may cause:          - Headache.    - Some loss of vision.    - In adults, acromegaly (growth of the bones in the face, hands, and feet). In children, the whole body may grow much taller and larger than normal.    - Tingling or numbness in the hands and fingers.    - Snoring or pauses in breathing during sleep.    -  Joint pain.    - Sweating more than usual.    - Dysmorphophobia (extreme dislike of or concern about one or more parts of the body).         Too much thyroid-stimulating hormone may cause:          - Irregular heartbeat.    - Shakiness.    - Weight loss.     - Trouble sleeping.    - Frequent bowel movements.    - Sweating.         Other general signs and symptoms of pituitary tumors:          -  Nausea and vomiting.    -  Confusion.    - Dizziness.    -  Seizures.    - Runny or ""drippy"" nose (cerebrospinal fluid that surrounds the brain and spinal cord leaks into the nose).",Pituitary Tumors,CancerGov
328,How to diagnose Pituitary Tumors?,"Imaging studies and tests that examine the blood and urine are used to detect (find) and diagnose a pituitary tumor. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.     -  Eye exam: An exam to check vision and the general health of the eyes.    -  Visual field exam: An exam to check a persons field of vision (the total area in which objects can be seen). This test measures both central vision (how much a person can see when looking straight ahead) and peripheral vision (how much a person can see in all other directions while staring straight ahead). The eyes are tested one at a time. The eye not being tested is covered.    -   Neurological exam : A series of questions and tests to check the brain, spinal cord, and nerve function. The exam checks a persons mental status, coordination, and ability to walk normally, and how well the muscles, senses, and reflexes work. This may also be called a neuro exam or a neurologic exam.     -   MRI (magnetic resonance imaging) with gadolinium : A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the brain and spinal cord. A substance called gadolinium is injected into a vein. The gadolinium collects around the cancer cells so they show up brighter in the picture. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Blood chemistry study : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as glucose (sugar), released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.     -  Blood tests: Tests to measure the levels of testosterone or estrogen in the blood. A higher or lower than normal amount of these hormones may be a sign of pituitary tumor.    -  Twenty-four-hour urine test: A test in which urine is collected for 24 hours to measure the amounts of certain substances. An unusual (higher or lower than normal) amount of a substance can be a sign of disease in the organ or tissue that makes it. A higher than normal amount of the hormone cortisol may be a sign of a pituitary tumor and Cushing syndrome.     -  High-dose dexamethasone suppression test: A test in which one or more high doses of dexamethasone are given. The level of cortisol is checked from a sample of blood or from urine that is collected for three days. This test is done to check if the adrenal gland is making too much cortisol or if the pituitary gland is telling the adrenal glands to make too much cortisol.    -  Low-dose dexamethasone suppression test: A test in which one or more small doses of dexamethasone are given. The level of cortisol is checked from a sample of blood or from urine that is collected for three days. This test is done to check if the adrenal gland is making too much cortisol.     -   Venous sampling for pituitary tumors: A procedure in which a sample of blood is taken from veins coming from the pituitary gland. The sample is checked to measure the amount of ACTH released into the blood by the gland. Venous sampling may be done if blood tests show there is a tumor making ACTH, but the pituitary gland looks normal in the imaging tests.     -   Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer.  The following tests may be done on the sample of tissue that is removed:               -  Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test may be used to tell the difference between different types of cancer.      -  Immunocytochemistry : A test that uses antibodies to check for certain antigens in a sample of cells. The antibody is usually linked to a radioactive substance or a dye that causes the cells to light up under a microscope. This type of test may be used to tell the difference between different types of cancer.      -  Light and electron microscopy : A laboratory test in which cells in a sample of tissue are viewed under regular and high-powered microscopes to look for certain changes in the cells.",Pituitary Tumors,CancerGov
